
time,ax,ay,az,wx,wy,wz
0.245,0.51,-0.24,-0.24,-0.10,-0.15,-0.03
0.245,0.51,-0.24,-0.24,-0.11,-0.15,-0.04
0.247,0.51,-0.24,-0.24,-0.12,-0.15,-0.05
0.248,0.52,-0.26,-0.27,-0.12,-0.15,-0.05
0.251,0.52,-0.26,-0.27,-0.13,-0.15,-0.05
0.253,0.52,-0.26,-0.27,-0.15,-0.16,-0.06
0.254,0.57,-0.25,-0.22,-0.15,-0.16,-0.06
0.256,0.57,-0.25,-0.22,-0.16,-0.15,-0.07
0.256,0.57,-0.25,-0.22,-0.18,-0.15,-0.08
0.257,0.58,-0.27,-0.22,-0.18,-0.15,-0.08
0.261,0.58,-0.27,-0.22,-0.19,-0.15,-0.09
0.261,0.57,-0.28,-0.17,-0.19,-0.15,-0.09
0.264,0.57,-0.28,-0.17,-0.20,-0.15,-0.10
0.264,0.57,-0.28,-0.17,-0.21,-0.14,-0.11
0.265,0.55,-0.29,-0.13,-0.21,-0.14,-0.11
0.267,0.55,-0.29,-0.13,-0.22,-0.13,-0.11
0.268,0.49,-0.33,-0.07,-0.22,-0.13,-0.11
0.271,0.49,-0.33,-0.07,-0.23,-0.12,-0.12
0.272,0.49,-0.33,-0.07,-0.25,-0.11,-0.12
0.273,0.40,-0.33,-0.07,-0.25,-0.11,-0.12
0.275,0.40,-0.33,-0.07,-0.25,-0.10,-0.13
0.275,0.36,-0.34,-0.01,-0.25,-0.10,-0.13
0.276,0.36,-0.34,-0.01,-0.26,-0.09,-0.13
0.28,0.36,-0.34,-0.01,-0.27,-0.09,-0.13
0.28,0.24,-0.33,-0.01,-0.27,-0.09,-0.13
0.284,0.24,-0.33,-0.01,-0.28,-0.08,-0.13
0.284,0.24,-0.33,-0.01,-0.29,-0.07,-0.14
0.284,0.22,-0.31,0.01,-0.29,-0.07,-0.14
0.288,0.22,-0.31,0.01,-0.29,-0.07,-0.14
0.288,0.18,-0.28,0.02,-0.29,-0.07,-0.14
0.292,0.18,-0.28,0.02,-0.30,-0.06,-0.14
0.292,0.17,-0.26,0.02,-0.30,-0.06,-0.14
0.293,0.17,-0.26,0.02,-0.30,-0.06,-0.14
0.296,0.17,-0.26,0.02,-0.30,-0.05,-0.14
0.296,0.15,-0.23,0.02,-0.30,-0.05,-0.14
0.296,0.15,-0.23,0.02,-0.31,-0.05,-0.15
0.317,0.15,-0.23,0.02,-0.31,-0.04,-0.15
0.317,0.17,-0.21,0.01,-0.31,-0.04,-0.15
0.317,0.17,-0.21,0.01,-0.30,-0.04,-0.15
0.318,0.19,-0.14,-0.01,-0.30,-0.04,-0.15
0.318,0.19,-0.14,-0.01,-0.30,-0.03,-0.15
0.318,0.19,-0.14,-0.01,-0.29,-0.03,-0.15
0.318,0.22,-0.11,-0.01,-0.29,-0.03,-0.15
0.319,0.22,-0.11,-0.01,-0.29,-0.03,-0.15
0.319,0.22,-0.11,-0.01,-0.28,-0.03,-0.15
0.319,0.24,-0.10,-0.03,-0.28,-0.03,-0.15
0.319,0.24,-0.10,-0.03,-0.28,-0.02,-0.15
0.32,0.24,-0.10,-0.03,-0.27,-0.02,-0.15
0.32,0.23,-0.07,-0.05,-0.27,-0.02,-0.15
0.32,0.23,-0.07,-0.05,-0.26,-0.03,-0.14
0.321,0.24,-0.03,-0.08,-0.26,-0.03,-0.14
0.323,0.24,-0.03,-0.08,-0.25,-0.03,-0.14
0.324,0.24,-0.03,-0.08,-0.24,-0.03,-0.14
0.324,0.20,0.01,-0.09,-0.24,-0.03,-0.14
0.327,0.20,0.01,-0.09,-0.24,-0.03,-0.14
0.328,0.17,-0.01,-0.15,-0.24,-0.03,-0.14
0.331,0.17,-0.01,-0.15,-0.23,-0.03,-0.13
0.331,0.17,-0.01,-0.15,-0.23,-0.03,-0.13
