
time,wx,wy,wz,ax,ay,az
0.454,-0.08,-0.06,-0.14,-0.19,0.15,0.42
0.455,-0.08,-0.06,-0.14,-0.22,0.14,0.34
0.459,-0.08,-0.06,-0.14,-0.22,0.15,0.26
0.46,-0.09,-0.04,-0.14,-0.22,0.15,0.26
0.464,-0.10,-0.02,-0.14,-0.22,0.15,0.26
0.465,-0.10,-0.02,-0.14,-0.24,0.17,0.20
0.469,-0.11,-0.01,-0.13,-0.24,0.17,0.20
0.47,-0.11,-0.01,-0.13,-0.24,0.20,0.13
0.487,-0.12,-0.01,-0.13,-0.24,0.20,0.13
0.488,-0.12,-0.01,-0.13,-0.22,0.21,0.12
0.489,-0.12,-0.02,-0.12,-0.22,0.21,0.12
0.49,-0.12,-0.02,-0.12,-0.26,0.24,0.13
0.491,-0.12,-0.02,-0.12,-0.25,0.28,0.18
0.492,-0.13,-0.03,-0.12,-0.25,0.28,0.18
0.493,-0.12,-0.05,-0.12,-0.25,0.28,0.18
0.494,-0.12,-0.05,-0.12,-0.22,0.25,0.23
0.51,-0.12,-0.05,-0.12,-0.19,0.30,0.29
0.511,-0.12,-0.07,-0.12,-0.19,0.30,0.29
0.514,-0.10,-0.09,-0.12,-0.19,0.30,0.29
0.516,-0.10,-0.09,-0.12,-0.17,0.29,0.33
0.518,-0.09,-0.10,-0.12,-0.17,0.29,0.33
0.519,-0.09,-0.10,-0.12,-0.12,0.30,0.34
0.52,-0.07,-0.10,-0.12,-0.12,0.30,0.34
0.521,-0.07,-0.10,-0.12,-0.06,0.27,0.34
0.521,-0.05,-0.09,-0.12,-0.06,0.27,0.34
0.522,-0.05,-0.09,-0.12,-0.03,0.26,0.35
0.523,-0.04,-0.09,-0.12,-0.03,0.26,0.35
0.524,-0.04,-0.09,-0.12,-0.02,0.24,0.37
0.525,-0.04,-0.09,-0.12,-0.01,0.27,0.38
0.526,-0.02,-0.07,-0.12,-0.01,0.27,0.38
0.534,-0.00,-0.05,-0.12,-0.01,0.27,0.38
0.535,-0.00,-0.05,-0.12,-0.00,0.22,0.35
0.536,0.01,-0.04,-0.12,-0.00,0.22,0.35
0.536,0.01,-0.04,-0.12,0.02,0.21,0.30
0.541,0.01,-0.04,-0.12,0.04,0.22,0.22
0.542,0.02,-0.03,-0.11,0.04,0.22,0.22
0.544,0.02,-0.02,-0.11,0.04,0.22,0.22
0.545,0.02,-0.02,-0.11,0.10,0.19,0.16
0.549,0.03,-0.00,-0.11,0.10,0.19,0.16
0.55,0.03,-0.00,-0.11,0.11,0.23,0.10
0.554,0.03,0.00,-0.10,0.11,0.23,0.10
0.556,0.03,0.00,-0.10,0.20,0.26,0.07
0.567,0.03,0.00,-0.10,0.22,0.26,0.03
0.569,0.02,0.01,-0.10,0.22,0.26,0.03
